上呼吸道感染	中药功效与主治：上呼吸道感染。
利胆退黄	中药功效与主治：利胆退黄。
利膈	中药功效与主治：利膈。
功能性子宫出血	中药功效与主治：功能性子宫出血。
助阳	中药功效与主治：助阳。
助阳化气	中药功效与主治：助阳化气。
助阳止泻	中药功效与主治：助阳止泻。
劫痰	中药功效与主治：劫痰。
劳伤	中药功效与主治：劳伤。
劳伤吐血	中药功效与主治：劳伤吐血。
劳伤咳嗽	中药功效与主治：劳伤咳嗽。
劳嗽	中药功效与主治：劳嗽。
劳热	中药功效与主治：劳热。
化浊	中药功效与主治：化浊。
化湿	中药功效与主治：化湿。
化湿开胃	中药功效与主治：化湿开胃。
化湿消痞	中药功效与主治：化湿消痞。
化滞	中药功效与主治：化滞。
化痰	中药功效与主治：化痰。
化痰散痞	中药功效与主治：化痰散痞。
化痰散结	中药功效与主治：化痰散结。
化痰止咳	中药功效与主治：化痰止咳。
化瘀	中药功效与主治：化瘀。
化瘀利尿	中药功效与主治：化瘀利尿。
化瘀止血	中药功效与主治：化瘀止血。
化脓性	中药功效与主治：化脓性。
十二指肠溃疡	中药功效与主治：十二指肠溃疡。
升举阳气	中药功效与主治：升举阳气。
升发	中药功效与主治：升发。
升发清阳	中药功效与主治：升发清阳。
升阳	中药功效与主治：升阳。
升阳举陷	中药功效与主治：升阳举陷。
升阳止泻	中药功效与主治：升阳止泻。
半身不遂	中药功效与主治：半身不遂。
厚肠胃	中药功效与主治：厚肠胃。
去三虫	中药功效与主治：去三虫。
去毒	中药功效与主治：去毒。
去湿	中药功效与主治：去湿。
去烦热	中药功效与主治：去烦热。
去热	中药功效与主治：去热。
去瘀	中药功效与主治：去瘀。
去瘀生新	中药功效与主治：去瘀生新。
去瘀血	中药功效与主治：去瘀血。
去翳	中药功效与主治：去翳。
去腐	中药功效与主治：去腐。
去风	中药功效与主治：去风。
去风湿	中药功效与主治：去风湿。
反胃	中药功效与主治：反胃。
发散风寒	中药功效与主治：发散风寒。
发斑	中药功效与主治：发斑。
发汗	中药功效与主治：发汗。
发汗散寒	中药功效与主治：发汗散寒。
发汗解肌	中药功效与主治：发汗解肌。
发汗解表	中药功效与主治：发汗解表。
发烧	中药功效与主治：发烧。
发热	中药功效与主治：发热。
发热头痛	中药功效与主治：发热头痛。
发表解暑	中药功效与主治：发表解暑。
发表透疹	中药功效与主治：发表透疹。
口噤	中药功效与主治：口噤。
口干	中药功效与主治：口干。
口干烦渴	中药功效与主治：口干烦渴。
口渴	中药功效与主治：口渴。
口疮	中药功效与主治：口疮。
口眼歪斜	中药功效与主治：口眼歪斜。
口腔溃疡	中药功效与主治：口腔溃疡。
口腔炎	中药功效与主治：口腔炎。
口臭	中药功效与主治：口臭。
口舌生疮	中药功效与主治：口舌生疮。
各种出血	中药功效与主治：各种出血。
吐泻	中药功效与主治：吐泻。
吐血衄血	中药功效与主治：吐血衄血。
吐逆	中药功效与主治：吐逆。
呃逆	中药功效与主治：呃逆。
呕吐	中药功效与主治：呕吐。
呕吐泄泻	中药功效与主治：呕吐泄泻。
呕血	中药功效与主治：呕血。
呕逆	中药功效与主治：呕逆。
和中利湿	中药功效与主治：和中利湿。
和中消暑	中药功效与主治：和中消暑。
和胃	中药功效与主治：和胃。
和胃化湿	中药功效与主治：和胃化湿。
和胃止呕	中药功效与主治：和胃止呕。
和胃止痛	中药功效与主治：和胃止痛。
和脾	中药功效与主治：和脾。
和血	中药功效与主治：和血。
和解表里	中药功效与主治：和解表里。
咬伤	中药功效与主治：咬伤。
咯血	中药功效与主治：咯血。
咳喘	中药功效与主治：咳喘。
咳喘痰多	中药功效与主治：咳喘痰多。
咳嗽	中药功效与主治：咳嗽。
咳嗽气喘	中药功效与主治：咳嗽气喘。
咳嗽痰喘	中药功效与主治：咳嗽痰喘。
咳嗽痰多	中药功效与主治：咳嗽痰多。
咳血	中药功效与主治：咳血。
咳逆	中药功效与主治：咳逆。
咳逆上气	中药功效与主治：咳逆上气。
咽喉炎	中药功效与主治：咽喉炎。
咽喉疼痛	中药功效与主治：咽喉疼痛。
咽喉痛	中药功效与主治：咽喉痛。
咽喉肿痛	中药功效与主治：咽喉肿痛。
咽干	中药功效与主治：咽干。
咽炎	中药功效与主治：咽炎。
咽痛	中药功效与主治：咽痛。
咽肿	中药功效与主治：咽肿。
哮喘	中药功效与主治：哮喘。
喉炎	中药功效与主治：喉炎。
喉痛	中药功效与主治：喉痛。
喉痹	中药功效与主治：喉痹。
喉蛾	中药功效与主治：喉蛾。
喉风	中药功效与主治：喉风。
喘咳	中药功效与主治：喘咳。
喘息	中药功效与主治：喘息。
噎膈	中药功效与主治：噎膈。
噎膈反胃	中药功效与主治：噎膈反胃。
四肢拘挛	中药功效与主治：四肢拘挛。
四肢麻木	中药功效与主治：四肢麻木。
回乳	中药功效与主治：回乳。
回阳救逆	中药功效与主治：回阳救逆。
回阳通脉	中药功效与主治：回阳通脉。
固涩	中药功效与主治：固涩。
固精	中药功效与主治：固精。
固精缩尿	中药功效与主治：固精缩尿。
固肾	中药功效与主治：固肾。
固肾涩精	中药功效与主治：固肾涩精。
固脱	中药功效与主治：固脱。
固表	中药功效与主治：固表。
坐骨神经痛	中药功效与主治：坐骨神经痛。
坚筋骨	中药功效与主治：坚筋骨。
填骨髓	中药功效与主治：填骨髓。
壮筋骨	中药功效与主治：壮筋骨。
壮阳	中药功效与主治：壮阳。
壮阳固精	中药功效与主治：壮阳固精。
复脉	中药功效与主治：复脉。
复脉固脱	中药功效与主治：复脉固脱。
外伤	中药功效与主治：外伤。
外伤出血	中药功效与主治：外伤出血。
外伤感染	中药功效与主治：外伤感染。
外伤肿痛	中药功效与主治：外伤肿痛。
外感发热	中药功效与主治：外感发热。
外感风寒	中药功效与主治：外感风寒。
外感风热	中药功效与主治：外感风热。
外敷	中药功效与主治：外敷。
外用治烧烫伤	中药功效与主治：外用治烧烫伤。
外用治疔疮	中药功效与主治：外用治疔疮。
外用治痈肿	中药功效与主治：外用治痈肿。
外用蚀疮	中药功效与主治：外用蚀疮。
多梦	中药功效与主治：多梦。
多汗	中药功效与主治：多汗。
多痰	中药功效与主治：多痰。
夜盲	中药功效与主治：夜盲。
大便燥结	中药功效与主治：大便燥结。
大便秘结	中药功效与主治：大便秘结。
大肠下血	中药功效与主治：大肠下血。
大腹	中药功效与主治：大腹。
大补元气	中药功效与主治：大补元气。
天泡疮	中药功效与主治：天泡疮。
天疱疮	中药功效与主治：天疱疮。
失眠	中药功效与主治：失眠。
失眠多梦	中药功效与主治：失眠多梦。
失音	中药功效与主治：失音。
头昏	中药功效与主治：头昏。
头晕	中药功效与主治：头晕。
头晕目眩	中药功效与主治：头晕目眩。
头晕耳鸣	中药功效与主治：头晕耳鸣。
头疮	中药功效与主治：头疮。
头痛	中药功效与主治：头痛。
头痛目赤	中药功效与主治：头痛目赤。
头痛眩晕	中药功效与主治：头痛眩晕。
头癣	中药功效与主治：头癣。
头目眩晕	中药功效与主治：头目眩晕。
头风	中药功效与主治：头风。
头风头痛	中药功效与主治：头风头痛。
头风痛	中药功效与主治：头风痛。
奔豚	中药功效与主治：奔豚。
妇人	中药功效与主治：妇人。
妇女崩漏	中药功效与主治：妇女崩漏。
妇女白带	中药功效与主治：妇女白带。
妇女经闭	中药功效与主治：妇女经闭。
妇女血崩	中药功效与主治：妇女血崩。
妊娠	中药功效与主治：妊娠。
子宫下垂	中药功效与主治：子宫下垂。
子宫出血	中药功效与主治：子宫出血。
子宫脱垂	中药功效与主治：子宫脱垂。
宁心	中药功效与主治：宁心。
宁心安神	中药功效与主治：宁心安神。
安五脏	中药功效与主治：安五脏。
安神	中药功效与主治：安神。
安神定喘	中药功效与主治：安神定喘。
安神益智	中药功效与主治：安神益智。
安胎	中药功效与主治：安胎。
安胎元	中药功效与主治：安胎元。
安蛔	中药功效与主治：安蛔。
定喘	中药功效与主治：定喘。
定志	中药功效与主治：定志。
定惊	中药功效与主治：定惊。
定惊搐	中药功效与主治：定惊搐。
定痛	中药功效与主治：定痛。
宣散风热	中药功效与主治：宣散风热。
宣肺	中药功效与主治：宣肺。
宣肺平喘	中药功效与主治：宣肺平喘。
宣肺透疹	中药功效与主治：宣肺透疹。
宽中下气	中药功效与主治：宽中下气。
宽肠	中药功效与主治：宽肠。
宽胸	中药功效与主治：宽胸。
寒湿	中药功效与主治：寒湿。
寒热	中药功效与主治：寒热。
寒疝	中药功效与主治：寒疝。
寒疝腹痛	中药功效与主治：寒疝腹痛。
导滞	中药功效与主治：导滞。
小便不利	中药功效与主治：小便不利。
小便不禁	中药功效与主治：小便不禁。
小便不通	中药功效与主治：小便不通。
小便涩痛	中药功效与主治：小便涩痛。
小便淋沥	中药功效与主治：小便淋沥。
小便淋涩	中药功效与主治：小便淋涩。
小便淋痛	中药功效与主治：小便淋痛。
小便短赤	中药功效与主治：小便短赤。
小便赤涩	中药功效与主治：小便赤涩。
小便频数	中药功效与主治：小便频数。
小儿夜啼	中药功效与主治：小儿夜啼。
小儿头疮	中药功效与主治：小儿头疮。
小儿惊痫	中药功效与主治：小儿惊痫。
小儿惊风	中药功效与主治：小儿惊风。
小儿疳积	中药功效与主治：小儿疳积。
小儿肺炎	中药功效与主治：小儿肺炎。
小儿食积	中药功效与主治：小儿食积。
小儿高热	中药功效与主治：小儿高热。
小儿麻痹后遗症	中药功效与主治：小儿麻痹后遗症。
小肠疝气	中药功效与主治：小肠疝气。
尿血	中药功效与主治：尿血。
尿血崩漏	中药功效与主治：尿血崩漏。
尿路感染	中药功效与主治：尿路感染。
尿路结石	中药功效与主治：尿路结石。
尿道炎	中药功效与主治：尿道炎。
尿闭	中药功效与主治：尿闭。
尿频	中药功效与主治：尿频。
峻下积滞	中药功效与主治：峻下积滞。
崩中	中药功效与主治：崩中。
崩中带下	中药功效与主治：崩中带下。
崩漏	中药功效与主治：崩漏。
崩漏下血	中药功效与主治：崩漏下血。
崩漏带下	中药功效与主治：崩漏带下。
带状疱疹	中药功效与主治：带状疱疹。
干姜温中散寒	中药功效与主治：干姜温中散寒。
平冲降气	中药功效与主治：平冲降气。
平喘	中药功效与主治：平喘。
平喘止咳	中药功效与主治：平喘止咳。
平肝	中药功效与主治：平肝。
平肝安神	中药功效与主治：平肝安神。
平肝息风止痉	中药功效与主治：平肝息风止痉。
平肝止痛	中药功效与主治：平肝止痛。
平肝舒筋	中药功效与主治：平肝舒筋。
平肝解郁	中药功效与主治：平肝解郁。
开窍清神	中药功效与主治：开窍清神。
开窍豁痰	中药功效与主治：开窍豁痰。
开窍醒神	中药功效与主治：开窍醒神。
开胃	中药功效与主治：开胃。
开胃止呕	中药功效与主治：开胃止呕。
开胃止痛	中药功效与主治：开胃止痛。
开胃消食	中药功效与主治：开胃消食。
开郁	中药功效与主治：开郁。
开郁醒脾	中药功效与主治：开郁醒脾。
引火归源	中药功效与主治：引火归源。
引血下行	中药功效与主治：引血下行。
强心	中药功效与主治：强心。
强志	中药功效与主治：强志。
强筋	中药功效与主治：强筋。
强筋壮骨	中药功效与主治：强筋壮骨。
强筋骨	中药功效与主治：强筋骨。
强腰膝	中药功效与主治：强腰膝。
强阴	中药功效与主治：强阴。
强骨	中药功效与主治：强骨。
心悸	中药功效与主治：心悸。
心悸失眠	中药功效与主治：心悸失眠。
心气痛	中药功效与主治：心气痛。
心烦	中药功效与主治：心烦。
心烦口渴	中药功效与主治：心烦口渴。
心烦失眠	中药功效与主治：心烦失眠。
心痛	中药功效与主治：心痛。
心神不安	中药功效与主治：心神不安。
心绞痛	中药功效与主治：心绞痛。
心肾	中药功效与主治：心肾。
心胃气痛	中药功效与主治：心胃气痛。
心腹冷痛	中药功效与主治：心腹冷痛。
心腹疼痛	中药功效与主治：心腹疼痛。
心腹痛	中药功效与主治：心腹痛。
忧郁失眠	中药功效与主治：忧郁失眠。
怔忡	中药功效与主治：怔忡。
急性乳腺炎	中药功效与主治：急性乳腺炎。
急性咽喉炎	中药功效与主治：急性咽喉炎。
急性扁桃体炎	中药功效与主治：急性扁桃体炎。
急性结膜炎	中药功效与主治：急性结膜炎。
急性肝炎	中药功效与主治：急性肝炎。
急性肠炎	中药功效与主治：急性肠炎。
急性肾炎	中药功效与主治：急性肾炎。
急性胃肠炎	中药功效与主治：急性胃肠炎。
急性阑尾炎	中药功效与主治：急性阑尾炎。
息风	中药功效与主治：息风。
息风定惊	中药功效与主治：息风定惊。
恶心呕吐	中药功效与主治：恶心呕吐。
恶疮	中药功效与主治：恶疮。
恶疮疥癣	中药功效与主治：恶疮疥癣。
恶疮肿毒	中药功效与主治：恶疮肿毒。
惊悸	中药功效与主治：惊悸。
惊痫	中药功效与主治：惊痫。
惊痫抽搐	中药功效与主治：惊痫抽搐。
惊风	中药功效与主治：惊风。
惊风抽搐	中药功效与主治：惊风抽搐。
感冒	中药功效与主治：感冒。
感冒发烧	中药功效与主治：感冒发烧。
感冒发热	中药功效与主治：感冒发热。
感冒咳嗽	中药功效与主治：感冒咳嗽。
感冒头痛	中药功效与主治：感冒头痛。
感冒风寒	中药功效与主治：感冒风寒。
感冒高热	中药功效与主治：感冒高热。
慢性支气管炎	中药功效与主治：慢性支气管炎。
慢性气管炎	中药功效与主治：慢性气管炎。
慢性肝炎	中药功效与主治：慢性肝炎。
慢性肾炎	中药功效与主治：慢性肾炎。
慢性胃炎	中药功效与主治：慢性胃炎。
截疟	中药功效与主治：截疟。
扁桃体炎	中药功效与主治：扁桃体炎。
手足麻木	中药功效与主治：手足麻木。
托毒	中药功效与主治：托毒。
扭伤	中药功效与主治：扭伤。
扭挫伤	中药功效与主治：扭挫伤。
抑制分泌	中药功效与主治：抑制分泌。
抗癌	中药功效与主治：抗癌。
抗胆碱药	中药功效与主治：抗胆碱药。
抗菌	中药功效与主治：抗菌。
折伤	中药功效与主治：折伤。
抽搐	中药功效与主治：抽搐。
拔毒	中药功效与主治：拔毒。
拘挛	中药功效与主治：拘挛。
拘挛麻木	中药功效与主治：拘挛麻木。
损伤	中药功效与主治：损伤。
排石	中药功效与主治：排石。
排脓	中药功效与主治：排脓。
支气管哮喘	中药功效与主治：支气管哮喘。
支气管炎	中药功效与主治：支气管炎。
收敛固涩	中药功效与主治：收敛固涩。
收敛止血	中药功效与主治：收敛止血。
收汗	中药功效与主治：收汗。
收涩	中药功效与主治：收涩。
收涩止血	中药功效与主治：收涩止血。
攻毒	中药功效与主治：攻毒。
攻毒疗疮	中药功效与主治：攻毒疗疮。
攻积	中药功效与主治：攻积。
敛汗	中药功效与主治：敛汗。
敛疮	中药功效与主治：敛疮。
敛疮生肌	中药功效与主治：敛疮生肌。
敛肺	中药功效与主治：敛肺。
敛肺定喘	中药功效与主治：敛肺定喘。
敛肺止咳	中药功效与主治：敛肺止咳。
敛阴	中药功效与主治：敛阴。
敛阴止汗	中药功效与主治：敛阴止汗。
散寒	中药功效与主治：散寒。
散寒止痛	中药功效与主治：散寒止痛。
散寒解表	中药功效与主治：散寒解表。
散寒除湿	中药功效与主治：散寒除湿。
散毒	中药功效与主治：散毒。
散热	中药功效与主治：散热。
散痞	中药功效与主治：散痞。
散瘀	中药功效与主治：散瘀。
散瘀定痛	中药功效与主治：散瘀定痛。
散瘀止痛	中药功效与主治：散瘀止痛。
散瘀止血	中药功效与主治：散瘀止血。
散瘀消肿	中药功效与主治：散瘀消肿。
散瘀血	中药功效与主治：散瘀血。
散结	中药功效与主治：散结。
散结止痛	中药功效与主治：散结止痛。
散结消肿	中药功效与主治：散结消肿。
散结通络止痛	中药功效与主治：散结通络止痛。
散肿毒	中药功效与主治：散肿毒。
散郁火	中药功效与主治：散郁火。
散风	中药功效与主治：散风。
散风寒	中药功效与主治：散风寒。
散风清热	中药功效与主治：散风清热。
散风热	中药功效与主治：散风热。
散风除湿	中药功效与主治：散风除湿。
敷疮	中药功效与主治：敷疮。
斑疹	中药功效与主治：斑疹。
无名肿毒	中药功效与主治：无名肿毒。
无汗	中药功效与主治：无汗。
早泄	中药功效与主治：早泄。
明目	中药功效与主治：明目。
明目乌发	中药功效与主治：明目乌发。
明目退翳	中药功效与主治：明目退翳。
明耳目	中药功效与主治：明耳目。
暑湿	中药功效与主治：暑湿。
暑热	中药功效与主治：暑热。
暑热烦渴	中药功效与主治：暑热烦渴。
暖肾	中药功效与主治：暖肾。
暖胃	中药功效与主治：暖胃。
暖脾胃	中药功效与主治：暖脾胃。
暖腰膝	中药功效与主治：暖腰膝。
月经不调	中药功效与主治：月经不调。
月经过多	中药功效与主治：月经过多。
有经不调	中药功效与主治：有经不调。
杀三虫	中药功效与主治：杀三虫。
杀菌	中药功效与主治：杀菌。
杀虫	中药功效与主治：杀虫。
杀虫攻积	中药功效与主治：杀虫攻积。
杀虫止痒	中药功效与主治：杀虫止痒。
杀虫消积	中药功效与主治：杀虫消积。
杀虫解毒	中药功效与主治：杀虫解毒。
杀蛔虫	中药功效与主治：杀蛔虫。
松风通痹	中药功效与主治：松风通痹。
柔肝	中药功效与主治：柔肝。
梅毒	中药功效与主治：梅毒。
梦遗	中药功效与主治：梦遗。
止呃	中药功效与主治：止呃。
止呕	中药功效与主治：止呕。
止呕吐	中药功效与主治：止呕吐。
止呕逆	中药功效与主治：止呕逆。
止咳	中药功效与主治：止咳。
止咳化痰	中药功效与主治：止咳化痰。
止咳嗽	中药功效与主治：止咳嗽。
止咳平喘	中药功效与主治：止咳平喘。
止咳祛痰	中药功效与主治：止咳祛痰。
止嗽	中药功效与主治：止嗽。
止小便利	中药功效与主治：止小便利。
止崩漏	中药功效与主治：止崩漏。
止带	中药功效与主治：止带。
止带沙	中药功效与主治：止带沙。
止汗	中药功效与主治：止汗。
止泄	中药功效与主治：止泄。
止泄痢	中药功效与主治：止泄痢。
止泻	中药功效与主治：止泻。
止泻痢	中药功效与主治：止泻痢。
止消渴	中药功效与主治：止消渴。
止渴	中药功效与主治：止渴。
止烦渴	中药功效与主治：止烦渴。
止痉	中药功效与主治：止痉。
止痒	中药功效与主治：止痒。
止痛	中药功效与主治：止痛。
止痛安胎	中药功效与主治：止痛安胎。
止痛止痒	中药功效与主治：止痛止痒。
止痢	中药功效与主治：止痢。
止痹痛	中药功效与主治：止痹痛。
止盗汗	中药功效与主治：止盗汗。
止血	中药功效与主治：止血。
止血止痛	中药功效与主治：止血止痛。
止血生肌	中药功效与主治：止血生肌。
止霍乱	中药功效与主治：止霍乱。
死肌	中药功效与主治：死肌。
毒疮	中药功效与主治：毒疮。
毒虫咬伤	中药功效与主治：毒虫咬伤。
毒蛇咬伤	中药功效与主治：毒蛇咬伤。
气喘	中药功效与主治：气喘。
气滞	中药功效与主治：气滞。
气痛	中药功效与主治：气痛。
气短	中药功效与主治：气短。
气管炎	中药功效与主治：气管炎。
气胀	中药功效与主治：气胀。
气虚	中药功效与主治：气虚。
气逆	中药功效与主治：气逆。
水气浮肿	中药功效与主治：水气浮肿。
水泻	中药功效与主治：水泻。
水火烫伤	中药功效与主治：水火烫伤。
水痘	中药功效与主治：水痘。
水肿	中药功效与主治：水肿。
水肿尿少	中药功效与主治：水肿尿少。
水肿胀满	中药功效与主治：水肿胀满。
污水逐饮	中药功效与主治：污水逐饮。
污肺平喘	中药功效与主治：污肺平喘。
治产后	中药功效与主治：治产后。
治咽喉	中药功效与主治：治咽喉。
治急	中药功效与主治：治急。
治急性	中药功效与主治：治急性。
治慢性	中药功效与主治：治慢性。
治毒	中药功效与主治：治毒。
治汤	中药功效与主治：治汤。
治湿热	中药功效与主治：治湿热。
治热病	中药功效与主治：治热病。
治痈疽	中药功效与主治：治痈疽。
治肠炎	中药功效与主治：治肠炎。
治肺	中药功效与主治：治肺。
治肺热	中药功效与主治：治肺热。
治肺结核	中药功效与主治：治肺结核。
治脾	中药功效与主治：治脾。
治虚弱	中药功效与主治：治虚弱。
治虚损	中药功效与主治：治虚损。
治诸	中药功效与主治：治诸。
治跌打	中药功效与主治：治跌打。
治阴虚	中药功效与主治：治阴虚。
泄泻	中药功效与主治：泄泻。
泄泻痢疾	中药功效与主治：泄泻痢疾。
泄热	中药功效与主治：泄热。
泄痢	中药功效与主治：泄痢。
泌尿系感染	中药功效与主治：泌尿系感染。
泌尿系结石	中药功效与主治：泌尿系结石。
法暑	中药功效与主治：法暑。
法风湿	中药功效与主治：法风湿。
泻下	中药功效与主治：泻下。
泻下通滞	中药功效与主治：泻下通滞。
泻人解毒	中药功效与主治：泻人解毒。
泻寒积	中药功效与主治：泻寒积。
泻水	中药功效与主治：泻水。
泻水逐饮	中药功效与主治：泻水逐饮。
泻水通便	中药功效与主治：泻水通便。
泻火	中药功效与主治：泻火。
泻火解毒	中药功效与主治：泻火解毒。
泻火除烦	中药功效与主治：泻火除烦。
泻热	中药功效与主治：泻热。
